预测                                   目标
manufa                             |MANUFA
power                              |power
row                                |ROW
kneppler                           |KNEPPLER
with                               |with
mantas                             |Mantas
the                                |THE
arunachal                          |ARUNACHAL
r                                  |R
bowl                               |BOWL
hole                               |HOLE
station                            |Station
on                                 |ON
goal                               |GOAL
coffee                             |COFFEE
pitty                              |Pitty
pagoda                             |PAGODA
ma                                 |MA
in                                 |in
never                              |NEVER
pollution                          |POLLUTION
by                                 |by
shop                               |Shop
beginning                          |beginning
lots                               |LOTS
clothes                            |clothes
tekay                              |TEKAY
in                                 |In
tekay                              |TEKAY
rookie                             |Rookie
wounded                            |wounded
best                               |BEST
daily                              |DAILY
distillery                         |Distillery
sea                                |SEA
man                                |Man
wadena                             |Wadena
upon                               |UPON
jost                               |JOST
smoke                              |smoke
for                                |for
london                             |LONDON
paul                               |PAUL
recorded                           |RECORDED
上海                               |上海
look                               |LOOK
local                              |Local
20                                 |20
house                              |House
saea                               |SAEA
pieces                             |pieces
stick                              |Stick
for                                |for
store                              |STORE
school                             |School
paper                              |PAPER
our                                |Our
use                                |USE
parents                            |parents
nos                                |NOS
new                                |NEW
top                                |TOP
trust                              |TRUST
123                                |123
restaurant                         |RESTAURANT
open                               |OPEN
to                                 |to
by                                 |by
yokohama                           |YOKOHAMA
port                               |port
face                               |FACE
welcome                            |WELCOME
of                                 |OF
47                                 |47
de                                 |DE
published                          |published
shabu                              |SHABU
820240                             |820240
thuong                             |THUONG
of                                 |OF
social                             |Social
strand                             |STRAND
tip                                |TIP
garage                             |GARAGE
bar                                |BAR
crand                              |CRAND
new                                |new
silver                             |SILVER
open                               |OPEN
ny                                 |NY
9303                               |9303
new                                |New
potato                             |POTATO
raw                                |RAW
blue                               |BLUE
grandy                             |Grandy
欢迎光临                           |欢迎光临
insurance                          |Insurance
dominco                            |DOMINCO
bmw                                |BMW
for                                |for
drink                              |DRINK
ban                                |BAN
he                                 |he
ban                                |BAN
办公室                             |办公室
shanghai                           |SHANGHAI
discs                              |DISCS
house                              |House
is                                 |is
nasional                           |NASIONAL
home                               |Home
13039                              |13039
it                                 |IT
bury                               |BURY
cheese                             |CHEESE
jalan                              |JALAN
100                                |100
stoms                              |STOMS
pintu                              |PINTU
rld                                |RLD
1899-1929                          |1899-1929
cafe                               |CAFE
harbor                             |HARBOR
service                            |SERVICE
hospitality                        |HOSPITALITY
tons                               |TONS
by                                 |by
1851                               |1851
cafe                               |CAFE
leis                               |LEIS
sindaco                            |SINDACO
with                               |with
money                              |money
abc                                |ABC
welcome                            |WELCOME
de                                 |DE
pure                               |PURE
penalty                            |PENALTY
open                               |OPEN
town                               |TOWN
